Data;Fixing;Liquidação;Id Cotacao;Cliente;Estrutura;Ativo;Spot Entrada;Quantidade;%Strike;%Barreira; Status 
24/07/2024;23/08/2024;27/08/2024;890000;155200;Forward Knockout;MELI34; $76,81 ;634;0,0313;0,1200;Vencido
24/07/2024;23/08/2024;27/08/2024;890001;155200;Forward Knockout;MRVE3; $6,60 ;7563;0,0358;0,1200;Vencido
27/08/2024;26/09/2024;30/09/2024;890002;155200;Forward Knockout;GMAT3; $8,14 ;6074;0,0213;0,1200;Barreira Atingida
27/08/2024;26/09/2024;30/09/2024;890003;155200;Forward Knockout;MRVE3; $7,75 ;6315;0,0312;0,1200;Vencido
30/09/2024;28/10/2024;30/10/2024;890004;155200;Forward Knockout;MRVE3; $7,24 ;6773;0,0328;0,1200;Vencido
29/02/2024;15/04/2024;17/04/2024;890005;662227;Forward Knockout;ASAI3;14,2;3517;0,0432;0,12;Vencido
29/02/2024;15/04/2024;17/04/2024;890006;662227;Forward Knockout;CYRE3;24,05;2058;0,0347;0,12;Barreira Atingida
18/03/2024;17/04/2024;19/04/2024;890007;662227;Forward Knockout;ASAI3;14,46;6798;0,0292;0,1;Barreira Atingida
18/03/2024;17/04/2024;19/04/2024;890008;662227;Forward Knockout;GMAT3;8,21;12060;0,0304;0,12;Vencido
18/03/2024;17/04/2024;19/04/2024;890009;662227;Forward Knockout;NFLX34;62,31;1581;0,0272;0,1;Vencido
18/03/2024;17/04/2024;19/04/2024;890010;662227;Forward Knockout;XPBR31;127;780;0,0275;0,1;Barreira Atingida
26/04/2024;27/05/2024;29/05/2024;890011;662227;Forward Knockout;ARZZ3;52,03;669;0,0272;0,1;Barreira Atingida
26/04/2024;27/05/2024;29/05/2024;890012;662227;Forward Knockout;ASAI3;13,32;2568;0,0316;0,1;Vencido
26/04/2024;27/05/2024;29/05/2024;890013;662227;Forward Knockout;GMAT3;7,54;4567;0,0256;0,12;Vencido
26/04/2024;27/05/2024;29/05/2024;890014;662227;Forward Knockout;MELI34;60,5;576;0,0303;0,1;Vencido
20/06/2024;22/07/2024;24/07/2024;890015;662227;Forward Knockout;NFLX34;74,39;227;0,0293;0,12;Vencido
20/06/2024;22/07/2024;24/07/2024;890016;662227;Forward Knockout;NVDC34;14,86;1117;0,0336;0,12;Vencido
20/06/2024;22/07/2024;24/07/2024;890017;662227;Forward Knockout;TSLA34;30,95;544;0,0429;0,12;Vencido
20/06/2024;22/07/2024;24/07/2024;890018;662227;Forward Knockout;XPBR31;97,62;173;0,0291;0,12;Vencido
26/07/2024;26/08/2024;28/08/2024;890019;662227;Forward Knockout;AMZO34;51,53;460;0,028;0,12;Vencido
26/07/2024;26/08/2024;28/08/2024;890020;662227;Forward Knockout;M1TA34;93,92;251;0,0473;0,12;Vencido
26/07/2024;26/08/2024;28/08/2024;890021;662227;Forward Knockout;MELI34;77,86;304;0,0347;0,12;Vencido
26/07/2024;26/08/2024;28/08/2024;890022;662227;Forward Knockout;NVDC34;13,33;1782;0,0535;0,12;Barreira Atingida
24/07/2024;23/08/2024;27/08/2024;890023;792493;Forward Knockout;NTCO3;14,86;1995;0,023;0,12;Vencido
22/08/2024;23/09/2024;25/09/2024;890024;792493;Forward Knockout;MRVE3;7,17;5915;0,0285;0,12;Vencido
27/08/2024;26/09/2024;30/09/2024;890025;792493;Forward Knockout;GMAT3;8,14;3644;0,0213;0,12;Barreira Atingida
27/08/2024;11/10/2024;15/10/2024;890026;792493;Forward Knockout;BRAV3;27,7;1071;0,0275;0,12;Barreira Atingida
07/10/2024;06/11/2024;08/11/2024;890027;792493;Forward Knockout;CYRE3;21,34;1190;0,0265;0,12;Registrado
07/10/2024;06/11/2024;08/11/2024;890028;792493;Forward Knockout;JBSS3;32,24;787;0,0202;0,12;Registrado
30/04/2024;31/05/2024;04/06/2024;890029;999643;Forward Knockout;GMAT3; $7,42 ;6585;0,0252;0,1200;Vencido
30/04/2024;31/05/2024;04/06/2024;890030;999643;Forward Knockout;BRAV3; $33,17 ;1483;0,0221;0,1200;Barreira Atingida
07/06/2024;08/07/2024;10/07/2024;890031;999643;Forward Knockout;GMAT3; $7,77 ;6340;0,0238;0,1200;Barreira Atingida
07/06/2024;08/07/2024;10/07/2024;890032;999643;Forward Knockout;MRVE3; $6,87 ;6906;0,0282;0,1200;Vencido
19/07/2024;19/08/2024;21/08/2024;890033;999643;Forward Knockout;NTCO3; $15,07 ;2795;0,0280;0,1200;Vencido
24/07/2024;23/08/2024;27/08/2024;890034;999643;Forward Knockout;MELI34; $76,81 ;380;0,0313;0,1200;Vencido
24/07/2024;23/08/2024;27/08/2024;890035;999643;Forward Knockout;NTCO3; $14,86 ;1995;0,0230;0,1200;Vencido
22/08/2024;23/09/2024;25/09/2024;890036;999643;Forward Knockout;MRVE3; $7,17 ;5915;0,0285;0,1200;Vencido
27/08/2024;26/09/2024;30/09/2024;890037;999643;Forward Knockout;GMAT3; $8,14 ;3644;0,0213;0,1200;Barreira Atingida
27/08/2024;11/10/2024;15/10/2024;890038;999643;Forward Knockout;BRAV3; $27,70 ;1071;0,0275;0,1200;Barreira Atingida
07/10/2024;06/11/2024;08/11/2024;890039;999643;Forward Knockout;CYRE3; $21,34 ;1190;0,0265;0,1200;Registrado
07/10/2024;06/11/2024;08/11/2024;890040;999643;Forward Knockout;JBSS3; $32,24 ;787;0,0202;0,1200;Registrado
22/12/2023;22/01/2024;24/01/2024;890041;101508;Forward Knockout;XPBR31; $127,03 ;251;0,0248;0,1200;Vencido
27/12/2023;26/01/2024;30/01/2024;890042;101508;Forward Knockout;NFLX34; $47,70 ;874;0,0263;0,1200;Vencido
27/12/2023;26/01/2024;30/01/2024;890043;101508;Forward Knockout;TSLA34; $39,54 ;995;0,0422;0,1200;Barreira Atingida
24/01/2024;23/02/2024;27/02/2024;890044;101508;Forward Knockout;ASAI3; $13,35 ;1459;0,0285;0,1200;Vencido
24/01/2024;23/02/2024;27/02/2024;890045;101508;Forward Knockout;TSLA34; $31,55 ;366;0,0409;0,1200;Vencido
29/02/2024;15/04/2024;17/04/2024;890046;101508;Forward Knockout;ARZZ3; $59,23 ;782;0,0315;0,1500;Barreira Atingida
29/02/2024;15/04/2024;17/04/2024;890047;101508;Forward Knockout;ASAI3; $14,20 ;3278;0,0432;0,1200;Vencido
29/02/2024;15/04/2024;17/04/2024;890048;101508;Forward Knockout;CYRE3; $24,05 ;1918;0,0347;0,1200;Barreira Atingida
07/05/2024;06/06/2024;10/06/2024;890049;825385;Forward Knockout;BRAV3; $33,46 ;1467;0,0228;0,1200;Barreira Atingida
10/06/2024;10/07/2024;12/07/2024;890050;825385;Forward Knockout;GMAT3; $7,64 ;6472;0,0270;0,1200;Vencido
10/06/2024;10/07/2024;12/07/2024;890051;825385;Forward Knockout;MRVE3; $6,80 ;7220;0,0354;0,1200;Vencido
